Nom_etablissement;Nombre_d_eleves;latitude;longitude
Lycée privé Jean XXIII;377;49.622229914745425;0.7596274377142349
Lycée professionnel Marcel Mezen;380;48.43027891970237;0.10661780740158018
Institut Lemonnier;384;49.19260720875303;-0.35116936536710613
Lycée Notre-Dame de la Providence;385;48.6869275880642;-1.3669710598018427
Lycée privé Fénelon;393;49.289565397037045;1.0147849912300624
Lycée hôtelier Maurice Marland;405;48.831005424626014;-1.5805031653022052
Lycée professionnel Pierre et Marie Curie;407;49.57084879987865;0.48062991063541116
Section d'enseignement professionnel du lycée Arcisse de Caumont;408;49.28615128661251;-0.7119555651554972
Lycée professionnel Sauxmarais;412;49.63883136538535;-1.5926322355882006
Lycée professionnel Descartes;413;49.74626539251706;0.3876008437013079
Lycée Claude Lehec;438;48.57241860848406;-1.0986453447989062
Lycée Sivard de Beaulieu;440;49.30491639985308;-1.240472049024132
Lycée Jules Siegfried;453;49.4974244436308;0.12417630796406089
Lycée Albert Sorel;459;49.397779920491054;0.23885500387865943
Lycée privé Saint-Adjutor;462;49.0859443237017;1.4575603617712103
Section d'enseignement professionnel du lycée Alexis de Tocqueville;463;49.62971495125211;-1.605962335232979
Lycée privé La Providence Nicolas Barré;466;49.40557217658121;1.1383507660133987
Lycée professionnel Aristide Briand;473;49.016700954041944;1.1562509759088397
Section d'enseignement professionnel du lycée privé Saint Vincent de Paul;474;49.484640802519344;0.1350940189939437
Lycée professionnel Auguste Bartholdi;481;49.540689299711076;0.958374618997384
Lycée Françoise de Grâce;487;49.4924593973192;0.15029814350730641
Section d'enseignement professionnel du lycée Jules Verne;490;49.166986895980976;-0.32777600632854875
Lycée professionnel Jules Le Cesne;490;49.49074804394899;0.13824384844004606
Lycée professionnel Georges Dumézil;498;49.08041900894887;1.4785858634716196
Lycée professionnel Val de Seine;500;49.39918771170218;1.0346181948718662
Lycée professionnel Sainte-Ursule;501;49.181519457041446;-0.3552335141226848
Lycée professionnel du bâtiment Augustin Hébert;502;49.01772387770479;1.1712610700162318
Lycée professionnel Louis-Modeste Leroy;506;49.02245685637897;1.1663214254089158
Lycée Robert de Mortain;509;48.64486233150295;-0.9407217853189529
Lycée professionnel Risle-Seine;510;49.35401250631812;0.5239553814048883
Lycée polyvalent Clément Ader;511;49.097157497454226;0.6067491548020646
Lycée Jean Monnet;512;48.51307599653271;0.5533574164447251
Lycée de la Côte d'Albâtre;528;49.86294107034202;0.6959382023847646
Lycée Elisa Lemonnier;529;49.4189247035765;1.061133690674815
Lycée François Rabelais;531;49.149486286553746;-0.35834824678517657
Lycée privé Notre-Dame Saint-François;536;49.016344456743276;1.1488670903991198
Lycée Pablo Neruda;537;49.90864297908238;1.065471175055901
Lycée Georges Baptiste;548;49.44226653340456;1.0180961247706892
Lycée professionnel Bernard Palissy;551;49.47368966617406;1.046486037125798
Lycée professionnel Victor Lépine;561;49.170589502053986;-0.3423064529725912
Lycée Schuman-Perret;563;49.515645312473396;0.16439396889495853
Lycée privé Rey;573;49.47798787065409;1.1294841532018267
Lycée privé Jean-Paul II;577;49.44942530230864;1.0974296786580333
Lycée professionnel Camille Claudel;584;49.20333936172704;-0.3852819556000213
Lycée André Maurois;603;49.36405551473745;0.07438419893450507
Lycée Charles Tellier;617;48.853039058153115;-0.5710705101824732
Lycée Antoine-Laurent de Lavoisier;619;49.5261314570463;0.09853038575713619
Lycée professionnel Institut Lemonnier;620;49.19243780506732;-0.3511130813435386
Lycée Jean-Baptiste Decrétot;631;49.21611647104202;1.1760506828445376
Lycée Alain Chartier;631;49.278790491075036;-0.7115803467439059
Lycée professionnel Schuman Perret;632;49.515645312473396;0.16439396889495853
Lycée Technologique Sainte-Ursule;638;49.2013787797286;-0.3804379500330239
Lycée Institut Saint-Lô;640;49.11945849476353;-1.10760115643116
Lycée Pierre de Coubertin;641;49.5646009770525;0.4588627206974175
Lycée Thomas Hélye;648;49.63977274409344;-1.6281095108440689
Lycée Jean Moulin;649;49.24939544677349;1.434088401786077
Section d'enseignement professionnel du lycée Paul Cornu;653;49.16242081200804;0.2189261422624571
Lycée privé Jean-Baptiste de La Salle;654;49.448336894197354;1.085473058869468
Lycée Saint-Thomas d'Aquin;682;48.74917976861083;-0.5653975012145286
Lycée Jules Verne;695;49.16650600882409;-0.32769156407150846
Lycée professionnel Thomas Pesquet;697;49.042421818471695;-1.4376375334993745
Lycée Marcel Gambier;725;49.1497428746432;0.2244785053075865
Lycée Porte Océane;736;49.48795785146774;0.10472538799540224
Lycée André Malraux;741;49.167128679135494;1.3461655452787125
Lycée du Golf;747;49.91633734162692;1.061037734327874
Lycée privé la Châtaigneraie;748;49.414516736173056;1.147112786295847
Lycée Marc Bloch;764;49.268248765564266;1.2026857388658663
Lycée Porte de Normandie;764;48.741184693291714;0.9126641567863556
Lycée Victor Grignard;764;49.63858843725225;-1.629401019309786
Lycée Camille Saint-Saens;764;49.44266149422058;1.0941003100509687
Lycée Le Corbusier;775;49.386683620528196;1.0662995275939093
Lycée Alain;776;48.44021344362575;0.0808749169187961
Lycée Charles de Gaulle;803;49.184055986661;-0.3794637881874425
Lycée privé Jeanne d'Arc;859;49.18154844163065;-0.3953756975942487
Lycée Sainte-Marie;859;49.18960406393845;-0.35515661808052446
Lycée Henri Cornat;876;49.50813691614035;-1.4761131500444695
Lycée Louis-Modeste Leroy;904;49.022027211960136;1.1659276877840958
